player_id,player_name,gender,purchase_date,age,gaming_console,total_interaction_hours,favorite_storyline
1,Linda Smith,Female,2023-09-08,24,PlayStation 5,32,Dark Side Temptation
2,William White,Male,2024-07-12,37,PC,28,Jedi Resurrection
3,Michelle Wilson,Female,2023-04-06,16,PlayStation 5,71,Dark Side Temptation
4,Joseph Taylor,Male,2024-07-28,16,PlayStation 5,84,Droid Uprising
5,Andrew Wilson,Male,2024-08-26,30,Xbox Series X,80,Force Awakening
6,James Harris,Male,2024-03-08,38,Xbox Series X,45,Empire Rebellion
7,Sarah Jones,Female,2023-12-11,40,PC,65,Sith Prophecy
8,Jennifer Gonzalez,Female,2023-12-19,27,PlayStation 4,88,Light Side Redemption
9,Thomas Sanchez,Male,2024-04-15,39,PlayStation 4,84,Rebel Alliance
10,Linda Robinson,Female,2024-07-19,18,Xbox Series X,85,Sith Prophecy
11,Amanda Lewis,Female,2023-07-16,34,PC,18,Empire Rebellion
12,John Perez,Male,2023-10-24,40,PC,46,Empire Rebellion
13,Joseph Ramirez,Male,2023-10-12,28,Nintendo Switch,11,Jedi Resurrection
14,Lisa Garcia,Female,2023-08-03,27,Xbox Series X,67,Jedi Resurrection
15,Robert Martin,Male,2024-06-30,21,PlayStation 5,35,Sith Prophecy
16,David Anderson,Male,2024-10-17,24,PlayStation 4,58,Sith Prophecy
17,Joseph Perez,Male,2023-02-27,42,PlayStation 5,2,Droid Uprising
18,John Sanchez,Male,2023-10-02,28,PC,16,Jedi Resurrection
19,Susan Robinson,Female,2023-11-19,44,PlayStation 5,13,Droid Uprising
20,Kimberly Gonzalez,Female,2023-05-27,30,Xbox Series X,23,Empire Rebellion
21,William Davis,Male,2024-07-05,33,Xbox Series X,88,Rebel Alliance
22,Michelle Wilson,Female,2024-01-06,28,PlayStation 5,17,Sith Prophecy
23,William Taylor,Male,2023-02-18,18,PC,13,Dark Side Temptation
24,Elizabeth Lee,Female,2024-11-27,41,Nintendo Switch,91,Galactic Conspiracy
25,Kevin Williams,Male,2024-09-02,28,Nintendo Switch,14,Droid Uprising
26,Donna Rodriguez,Female,2023-01-12,43,PC,29,Light Side Redemption
27,Andrew Harris,Male,2024-10-18,40,Xbox Series X,17,Galactic Conspiracy
28,Linda Martinez,Female,2024-04-09,21,PC,35,Empire Rebellion
29,Thomas Taylor,Male,2024-06-03,21,PC,60,Galactic Conspiracy
30,Karen Clark,Other,2024-09-15,32,PlayStation 5,6,Droid Uprising
31,Elizabeth Lopez,Female,2024-07-06,21,PlayStation 4,32,Force Awakening
32,James Martin,Male,2023-01-20,31,PC,3,Sith Prophecy
33,Lisa Lewis,Female,2023-03-01,23,PlayStation 5,5,Bounty Hunter Intrigue
34,Joshua Williams,Male,2024-05-12,39,PC,30,Galactic Conspiracy
35,Andrew Harris,Male,2024-11-06,20,Nintendo Switch,59,Jedi Resurrection
36,Emily Garcia,Female,2024-09-13,32,Nintendo Switch,56,Sith Prophecy
37,Susan Robinson,Female,2024-12-07,40,PlayStation 5,59,Light Side Redemption
38,Karen Gonzalez,Female,2024-01-18,36,Nintendo Switch,61,Light Side Redemption
39,Donna Anderson,Female,2023-08-19,23,PC,62,Force Awakening
40,Nancy Smith,Female,2023-08-24,33,PlayStation 4,50,Jedi Resurrection
41,Joseph Smith,Male,2024-10-08,38,PC,22,Droid Uprising
42,Joseph Williams,Male,2023-12-05,43,PC,63,Galactic Conspiracy
43,Paul Davis,Male,2024-05-12,37,PlayStation 5,46,Droid Uprising
