player_id,player_name,gender,purchase_date,age,gaming_console
1,Linda Smith,Female,2023-09-08,24,PlayStation 5
2,William White,Male,2024-07-12,37,PC
3,Michelle Wilson,Female,2023-04-06,16,PlayStation 5
4,Joseph Taylor,Male,2024-07-28,16,PlayStation 5
5,Andrew Wilson,Male,2024-08-26,30,Xbox Series X
6,James Harris,Male,2024-03-08,38,Xbox Series X
7,Sarah Jones,Female,2023-12-11,40,PC
8,Jennifer Gonzalez,Female,2023-12-19,27,PlayStation 4
9,Thomas Sanchez,Male,2024-04-15,39,PlayStation 4
10,Linda Robinson,Female,2024-07-19,18,Xbox Series X
11,Amanda Lewis,Female,2023-07-16,34,PC
12,John Perez,Male,2023-10-24,40,PC
13,Joseph Ramirez,Male,2023-10-12,28,Nintendo Switch
14,Lisa Garcia,Female,2023-08-03,27,Xbox Series X
15,Robert Martin,Male,2024-06-30,21,PlayStation 5
16,David Anderson,Male,2024-10-17,24,PlayStation 4
17,Joseph Perez,Male,2023-02-27,42,PlayStation 5
18,John Sanchez,Male,2023-10-02,28,PC
19,Susan Robinson,Female,2023-11-19,44,PlayStation 5
20,Kimberly Gonzalez,Female,2023-05-27,30,Xbox Series X
21,William Davis,Male,2024-07-05,33,Xbox Series X
22,Michelle Wilson,Female,2024-01-06,28,PlayStation 5
23,William Taylor,Male,2023-02-18,18,PC
24,Elizabeth Lee,Female,2024-11-27,41,Nintendo Switch
25,Kevin Williams,Male,2024-09-02,28,Nintendo Switch
26,Donna Rodriguez,Female,2023-01-12,43,PC
27,Andrew Harris,Male,2024-10-18,40,Xbox Series X
28,Linda Martinez,Female,2024-04-09,21,PC
29,Thomas Taylor,Male,2024-06-03,21,PC
30,Karen Clark,Other,2024-09-15,32,PlayStation 5
31,Elizabeth Lopez,Female,2024-07-06,21,PlayStation 4
32,James Martin,Male,2023-01-20,31,PC
33,Lisa Lewis,Female,2023-03-01,23,PlayStation 5
34,Joshua Williams,Male,2024-05-12,39,PC
35,Andrew Harris,Male,2024-11-06,20,Nintendo Switch
36,Emily Garcia,Female,2024-09-13,32,Nintendo Switch
37,Susan Robinson,Female,2024-12-07,40,PlayStation 5
38,Karen Gonzalez,Female,2024-01-18,36,Nintendo Switch
39,Donna Anderson,Female,2023-08-19,23,PC
40,Nancy Smith,Female,2023-08-24,33,PlayStation 4
41,Joseph Smith,Male,2024-10-08,38,PC
42,Joseph Williams,Male,2023-12-05,43,PC
43,Paul Davis,Male,2024-05-12,37,PlayStation 5
44,Andrew Jones,Male,2024-08-07,45,PlayStation 4
45,Steven Davis,Female,2024-02-21,41,PlayStation 5
46,Michael Brown,Male,2023-12-29,29,Nintendo Switch
47,Mark Anderson,Male,2024-11-20,17,PC
48,Patricia Gonzalez,Female,2023-04-22,26,PlayStation 5
49,Richard Miller,Female,2023-05-24,30,Nintendo Switch
50,Barbara Rodriguez,Female,2023-03-19,23,Nintendo Switch
51,Emily Brown,Female,2024-07-07,36,PC
52,Jennifer Robinson,Female,2023-08-31,43,PlayStation 5
53,Mark Thomas,Male,2024-02-15,22,PC
54,David Gonzalez,Male,2023-09-29,28,Nintendo Switch
55,Charles Wilson,Male,2024-07-23,39,Nintendo Switch
56,Elizabeth Miller,Female,2023-03-01,22,PlayStation 4
57,Andrew Johnson,Other,2023-02-28,26,PC
58,Michelle Thomas,Female,2024-06-27,45,PlayStation 5
59,Patricia Taylor,Female,2023-07-10,43,PC
60,Kevin Williams,Male,2023-08-29,43,Nintendo Switch
61,Linda Lewis,Female,2024-08-15,23,PlayStation 4
62,John Martin,Male,2024-11-04,29,PlayStation 4
63,Joshua Taylor,Male,2023-09-25,45,PlayStation 5
64,Daniel Davis,Male,2023-05-15,28,Xbox Series X
65,Ashley Hernandez,Female,2023-03-16,45,PC
66,Ashley Martin,Other,2023-03-17,19,PlayStation 4
67,Susan Taylor,Female,2023-12-24,20,PC
68,Jessica Lopez,Female,2024-03-24,21,PlayStation 4
69,Karen Martin,Female,2023-01-09,32,PlayStation 4
70,Karen Robinson,Female,2023-05-18,19,Xbox Series X
71,Linda Lewis,Female,2024-07-20,39,PlayStation 5
72,Sarah Martinez,Female,2023-12-18,22,PlayStation 5
73,Thomas Taylor,Male,2023-02-22,24,PC
74,Sandra Clark,Female,2023-01-04,17,Xbox Series X
75,William Lee,Male,2024-03-28,21,PlayStation 4
76,Sandra Moore,Female,2023-03-19,19,PlayStation 5
77,Andrew Johnson,Male,2024-07-19,34,PlayStation 5
78,Sandra Jones,Female,2024-01-09,25,PC
79,Matthew Miller,Male,2024-11-13,23,PC
80,Matthew Harris,Male,2024-02-21,44,PlayStation 4
81,Elizabeth Robinson,Female,2023-06-16,43,PlayStation 5
82,Mark Smith,Male,2023-12-07,39,Nintendo Switch
83,Jessica Rodriguez,Female,2024-12-19,41,PC
84,Anthony Ramirez,Male,2024-04-26,43,PlayStation 5
85,Richard Clark,Female,2023-11-09,27,PlayStation 5
86,Joseph Smith,Male,2024-02-13,22,Xbox Series X
87,Sarah Ramirez,Female,2023-10-13,40,Xbox Series X
88,Paul Gonzalez,Male,2024-07-03,42,Xbox Series X
89,Mary Brown,Female,2024-08-17,21,Xbox Series X
90,John Brown,Male,2023-12-20,29,Xbox Series X
91,Sandra Martin,Female,2024-01-30,19,PlayStation 4
92,Richard Rodriguez,Male,2024-03-22,38,PC
93,Donna Robinson,Female,2024-11-17,37,PlayStation 5
94,Lisa Wilson,Female,2023-12-05,37,PlayStation 4
95,Daniel Perez,Male,2023-11-04,39,PlayStation 4
96,Karen Perez,Female,2024-02-17,26,Xbox Series X
97,Emily Jones,Female,2024-11-11,29,Nintendo Switch
98,Barbara Martin,Female,2024-02-20,25,PlayStation 4
99,James Martinez,Male,2024-03-16,22,PlayStation 4
100,Kevin Lee,Other,2024-03-28,30,Nintendo Switch
101,Susan Taylor,Female,2023-06-23,41,PC
102,Charles Taylor,Male,2024-09-26,36,Xbox Series X
103,Jennifer Clark,Female,2024-11-19,23,Xbox Series X
104,Joseph Sanchez,Male,2023-01-26,20,PC
105,Jessica Thomas,Female,2023-03-16,43,Nintendo Switch
106,Mark Lewis,Male,2023-07-19,34,Nintendo Switch
107,Kimberly Gonzalez,Female,2024-11-02,20,PC
108,Michael Harris,Male,2023-06-30,23,PlayStation 4
109,Ashley Johnson,Female,2023-05-05,23,Nintendo Switch
110,William Sanchez,Male,2024-06-27,37,PlayStation 4
111,Kevin Hernandez,Male,2024-03-29,44,PlayStation 4
112,Paul Wilson,Male,2023-06-12,30,Nintendo Switch
113,Donald Rodriguez,Female,2024-10-14,23,Xbox Series X
114,Donna Thomas,Female,2023-10-09,23,Nintendo Switch
115,Robert Thompson,Male,2023-10-06,23,Xbox Series X
116,Daniel Lewis,Male,2023-05-22,18,PlayStation 5
117,Joseph Gonzalez,Male,2024-12-24,20,PlayStation 5
118,Robert Wilson,Male,2024-07-09,26,Nintendo Switch
119,Mark Johnson,Male,2024-03-06,42,Nintendo Switch
120,Michelle Thompson,Female,2024-08-12,43,Nintendo Switch
121,Steven Smith,Male,2024-02-04,25,Nintendo Switch
122,Andrew White,Male,2024-09-09,33,PlayStation 5
123,Kimberly Davis,Female,2024-05-12,29,PC
124,Anthony Hernandez,Male,2024-02-19,37,PlayStation 5
125,Ashley Robinson,Female,2024-06-30,35,PC
126,Betty Jackson,Female,2023-01-28,37,PC
127,Sandra Jones,Female,2023-02-21,21,Xbox Series X
128,Anthony Hernandez,Male,2023-12-01,30,Xbox Series X
129,Anthony Rodriguez,Other,2024-03-07,42,Xbox Series X
130,Jennifer Thomas,Female,2024-07-06,39,PC
131,Matthew Davis,Male,2024-10-29,18,PC
132,Mary Davis,Female,2023-01-21,42,PlayStation 4
133,Elizabeth Davis,Female,2024-11-16,31,PC
134,Joshua Miller,Male,2023-09-20,38,Xbox Series X
135,David Martin,Male,2023-04-28,39,PlayStation 5
136,Karen Brown,Female,2023-11-16,16,PlayStation 4
137,Anthony Gonzalez,Male,2023-03-19,22,PlayStation 4
138,Jessica Brown,Female,2023-11-05,40,PlayStation 4
139,Linda Sanchez,Female,2023-02-12,41,Xbox Series X
140,Andrew Wilson,Male,2023-03-12,27,PlayStation 4
141,Nancy Smith,Female,2024-05-16,42,PC
142,Sandra Lopez,Female,2024-04-15,44,PlayStation 5
143,Sandra Garcia,Female,2024-10-28,32,Xbox Series X
144,Amanda Sanchez,Female,2024-05-10,40,Nintendo Switch
145,Sandra Clark,Female,2023-10-02,34,Xbox Series X
146,Jessica Clark,Female,2024-04-06,24,PlayStation 5
147,Ashley Jackson,Female,2024-01-24,37,Xbox Series X
148,Mary Thomas,Female,2024-05-14,21,PlayStation 5
149,Matthew Sanchez,Male,2023-10-14,26,PlayStation 4
150,Sarah Moore,Female,2023-07-15,32,PC
151,Jessica White,Female,2024-07-22,31,PlayStation 5
152,Steven Lee,Female,2024-04-03,31,PC
153,Jennifer Martinez,Female,2024-12-09,28,PlayStation 5
154,Karen Perez,Female,2024-04-29,27,PlayStation 4
155,Donna Lopez,Female,2024-07-17,39,Xbox Series X
156,Matthew Thompson,Male,2023-11-10,24,Xbox Series X
157,Joseph Brown,Male,2023-11-20,22,PC
158,Andrew Harris,Male,2023-07-16,21,PlayStation 5
159,Steven Rodriguez,Female,2024-06-21,34,PlayStation 4
160,Charles Brown,Male,2023-08-21,25,Xbox Series X
161,Barbara Martinez,Female,2024-06-30,38,PlayStation 5
162,Sarah Johnson,Female,2023-10-27,33,PlayStation 5
163,Kimberly Brown,Female,2023-10-19,34,Nintendo Switch
164,Steven Anderson,Male,2023-02-22,21,Xbox Series X
165,Steven Brown,Male,2024-05-18,28,PC
166,Joshua Lee,Male,2023-06-05,17,PlayStation 5
167,Joshua Martinez,Male,2023-05-02,23,PlayStation 4
168,Mark Martin,Male,2024-09-25,41,PlayStation 5
169,Donna Gonzalez,Female,2024-03-29,45,Xbox Series X
170,Michelle Wilson,Female,2024-09-27,34,PC
171,Amanda White,Female,2023-08-01,40,PlayStation 5
172,Thomas Perez,Male,2023-09-03,21,PlayStation 5
173,Emily Williams,Female,2024-02-23,16,Nintendo Switch
174,Kevin Thomas,Male,2023-08-26,17,Xbox Series X
175,Charles Thompson,Male,2024-12-04,18,PlayStation 5
176,Thomas Sanchez,Male,2024-11-08,34,PlayStation 5
177,Sandra Brown,Female,2024-10-25,23,PlayStation 5
178,Sarah Clark,Female,2023-03-03,18,PlayStation 5
179,Karen Martin,Female,2024-08-05,42,Xbox Series X
180,Donald Brown,Female,2023-11-08,38,Nintendo Switch
181,Sarah Taylor,Female,2024-03-24,31,PC
182,Kevin Johnson,Male,2023-11-27,39,PlayStation 4
183,Thomas Smith,Male,2024-11-21,23,PlayStation 4
184,Michelle Smith,Female,2023-10-03,37,PlayStation 4
185,John Harris,Male,2024-04-26,21,PlayStation 4
186,Donald Robinson,Male,2024-08-22,21,Nintendo Switch
187,Kimberly Williams,Female,2024-02-23,27,Xbox Series X
188,Daniel Perez,Male,2023-06-14,43,Xbox Series X
189,Mark Thompson,Male,2024-11-09,25,Nintendo Switch
190,Emily Johnson,Female,2023-11-19,18,Xbox Series X
191,Daniel Brown,Male,2024-06-10,28,PC
192,Andrew Anderson,Male,2023-07-12,17,PlayStation 4
193,Lisa Martin,Female,2024-10-02,31,Nintendo Switch
194,Patricia Miller,Female,2023-05-15,33,Xbox Series X
195,Donald Lewis,Female,2023-05-05,31,PC
196,Kevin Sanchez,Male,2023-06-12,38,Xbox Series X
197,Emily Smith,Female,2023-04-06,29,PlayStation 5
198,Linda Anderson,Female,2023-06-07,36,Nintendo Switch
199,Charles Taylor,Male,2024-03-01,24,Nintendo Switch
200,Steven Davis,Female,2023-05-29,33,Nintendo Switch
201,Richard Robinson,Female,2023-05-20,32,PC
202,Sarah Harris,Female,2024-06-03,26,Xbox Series X
203,James Martinez,Male,2024-08-24,25,PlayStation 4
204,Kimberly Ramirez,Female,2024-07-05,30,Nintendo Switch
205,Matthew Hernandez,Male,2024-07-10,40,Nintendo Switch
206,Ashley Robinson,Female,2023-07-13,43,PlayStation 5
207,Joshua Gonzalez,Male,2024-02-25,43,PC
208,Daniel White,Male,2024-01-26,38,Nintendo Switch
209,Elizabeth Thomas,Female,2024-05-29,20,PlayStation 4
210,Nancy Ramirez,Female,2024-03-26,43,PC
211,Donna Robinson,Female,2023-05-28,16,Nintendo Switch
212,Elizabeth Williams,Female,2023-09-29,41,Xbox Series X
213,Amanda Thompson,Female,2023-03-24,36,Xbox Series X
214,Andrew Gonzalez,Male,2024-05-14,36,PlayStation 4
215,John Martin,Male,2024-10-08,23,Xbox Series X
216,Joseph White,Male,2023-04-11,29,PC
217,Donald Garcia,Female,2023-01-30,25,PC
218,Daniel Sanchez,Male,2024-01-03,25,Xbox Series X
219,Sandra Jones,Female,2024-02-26,32,PlayStation 4
220,Barbara Garcia,Female,2024-09-16,18,Nintendo Switch
221,Amanda Perez,Female,2024-08-20,31,PlayStation 5
222,Joseph Anderson,Male,2024-04-15,24,Xbox Series X
223,James Lewis,Male,2023-10-22,44,PlayStation 4
224,David Williams,Male,2024-08-24,27,Xbox Series X
225,Sandra Thompson,Female,2023-11-06,30,PlayStation 5
226,Anthony Ramirez,Male,2023-08-31,19,Nintendo Switch
227,Joshua Lopez,Male,2024-12-17,25,Xbox Series X
228,Mary Clark,Female,2023-10-09,28,PC
229,Joshua Ramirez,Male,2023-02-20,40,PlayStation 4
230,Kimberly Clark,Female,2023-08-24,40,PlayStation 4
231,Matthew Davis,Male,2024-09-27,22,Xbox Series X
232,William Lee,Male,2024-10-04,44,PC
233,Karen Sanchez,Female,2024-08-16,17,Xbox Series X
234,William Williams,Male,2024-03-01,26,PlayStation 5
235,Richard Jones,Female,2024-01-10,44,PlayStation 4
236,Paul Robinson,Male,2023-06-18,42,Xbox Series X
237,Steven Sanchez,Male,2023-12-13,39,PC
238,Ashley Williams,Female,2023-08-20,40,Nintendo Switch
239,Emily Lopez,Female,2024-02-09,41,PC
240,Thomas Moore,Male,2024-01-13,30,Xbox Series X
241,Michelle Gonzalez,Female,2023-04-21,27,PlayStation 5
242,Steven Smith,Female,2024-07-28,44,Xbox Series X
243,Amanda Davis,Female,2024-10-12,18,Nintendo Switch
244,Karen Lee,Female,2023-05-24,19,PC
245,John Martinez,Male,2023-04-10,19,PlayStation 5
246,Andrew Jones,Male,2024-01-15,30,PlayStation 4
247,Mark Jackson,Male,2023-06-08,39,Nintendo Switch
248,Michael Clark,Male,2024-02-22,35,Xbox Series X
249,John Thompson,Male,2024-03-30,22,Nintendo Switch
250,Jessica Ramirez,Female,2024-12-03,19,Xbox Series X
251,Andrew Lewis,Male,2023-03-04,27,Nintendo Switch
252,Sarah Miller,Female,2024-04-10,43,PC
253,Susan Lee,Female,2023-01-22,35,PC
254,Nancy Davis,Female,2024-08-01,41,PlayStation 5
255,Robert Clark,Other,2023-08-01,33,PlayStation 4
256,Susan Clark,Female,2023-06-01,26,PlayStation 4
257,James Rodriguez,Male,2024-07-07,20,Xbox Series X
258,Barbara Brown,Female,2023-01-27,43,PlayStation 5
259,James Lopez,Male,2023-11-28,34,PC
260,Barbara Rodriguez,Female,2024-03-07,20,PlayStation 4
261,Linda White,Female,2024-04-04,31,Xbox Series X
262,Paul Jackson,Male,2024-05-30,30,PlayStation 5
263,Amanda Johnson,Female,2024-11-05,41,PlayStation 4
264,Karen Anderson,Female,2023-03-04,16,Nintendo Switch
265,Betty Wilson,Female,2024-05-17,19,Nintendo Switch
266,Robert Lewis,Male,2024-09-14,26,PlayStation 5
267,Robert Jones,Male,2024-10-10,35,PlayStation 4
268,Emily Thompson,Female,2024-09-03,28,PlayStation 4
269,Charles Anderson,Male,2024-03-16,35,PC
